Feature,Quality_Score,Missing_Penalty,Variance
PATNO,10.0,0.0,25340137392.534115
COHORT,10.0,0.0,0.12986533181184792
ENRLLRRK2,10.0,0.0,0.08412132010468229
ENRLGBA,10.0,0.0,0.03923145933639721
ENRLSNCA,10.0,0.0,0.018724401321749785
ENROLL_AGE,10.0,0.0,102.48587198563837
AV133STDY,9.438309475119292,0.07021131561008861,0.017994712591693746
TAUSTDY,9.421949556918882,0.07225630538513975,0.01018198768691117
GAITSTDY,9.421949556918882,0.07225630538513975,0.04945212918889562
ENRLPINK1,9.421949556918882,0.07225630538513975,0.002199672172896176
ENRLOTHGV,9.421949556918882,0.07225630538513975,0.0036607209946578484
ENRLPRKN,9.421949556918882,0.07225630538513975,0.010901173581436871
ENRLSRDC,9.421949556918882,0.07225630538513975,0.24635572435346834
ENRLNORM,9.421949556918882,0.07225630538513975,0.11746702943919789
DPASTDY,9.421949556918882,0.07225630538513975,0.015905238799503084
MNISTDY,9.421949556918882,0.07225630538513975,0.002199672172896176
MDGSTDY,9.421949556918882,0.07225630538513975,0.0029307365131272575
SV2ASTDY,9.421949556918882,0.07225630538513975,0.008017950851131129
DPPDSTDY,9.421949556918882,0.07225630538513975,0.006569860333775326
NXTAUSTDY,9.421949556918882,0.07225630538513975,0.010901173581436871
FD4STDY,9.421949556918882,0.07225630538513975,0.005117450381617566
ENRLHPSM,8.0,0.0,0.0
ENRLRBD,8.0,0.0,0.0
DPPROSTDY,7.421949556918882,0.07225630538513975,0.0
PISTDY,7.421949556918882,0.07225630538513975,0.0
DPDPASTDY,7.421949556918882,0.07225630538513975,0.0
GAITLEAPSTDY,7.421949556918882,0.07225630538513975,0.0
SCREENEDAM,7.387866394001364,0.3265167007498296,0.6244425257638652
Age_AGE_AT_VISIT,7.230629402408543,0.3461713246989321,100.72048878202659
MDS_NP2SPCH,7.118836628039082,0.36014542149511475,0.6667307082041781
MDS-U_NP1FATG,7.118836628039082,0.36014542149511475,0.7765947383397104
MDS-U_NP1CNST,7.118836628039082,0.36014542149511475,0.6570804273421482
MDS-U_NP1SLPN,7.118836628039082,0.36014542149511475,1.267560277875317
MDS_NUPSOURC,7.118836628039082,0.36014542149511475,0.17467920581682567
MDS-U_NP1URIN,7.118836628039082,0.36014542149511475,0.8158272274725141
MDS-U_NP1SLPD,7.118836628039082,0.36014542149511475,0.7338008334039652
MDS-U_NP1LTHD,7.118836628039082,0.36014542149511475,0.46067827524378036
MDS-U_NP1PAIN,7.117927743694615,0.36025903203817317,0.8810673469909185
MDS_NP2SALV,7.117927743694615,0.36025903203817317,0.9877839402722748
NP1PTOT,7.117927743694615,0.36025903203817317,14.966173740707761
MDS-U_NP1COG,7.117018859350148,0.36037264258123153,0.4094013587969179
MDS_NP2FREZ,7.117018859350148,0.36037264258123153,0.2630863326083177
MDS-U_NP1DPRS,7.117018859350148,0.36037264258123153,0.4696492125433913
MDS-U_NP1HALL,7.117018859350148,0.36037264258123153,0.0969226225392671
MDS-U_NUPSOURC,7.117018859350148,0.36037264258123153,0.2585798865113327
MDS-U_NP1APAT,7.117018859350148,0.36037264258123153,0.4084589857080515
MDS-U_NP1ANXS,7.117018859350148,0.36037264258123153,0.5656307241710413
MDS_NP2HYGN,7.117018859350148,0.36037264258123153,0.2791095465722895
MDS_NP2SWAL,7.117018859350148,0.36037264258123153,0.28984524760288877
MDS_NP2WALK,7.117018859350148,0.36037264258123153,0.5320336168288616
MDS_NP2HWRT,7.117018859350148,0.36037264258123153,1.0614450288675712
MDS-U_NP1DDS,7.11610997500568,0.36048625312428995,19.958739093911962
MDS_NP2RISE,7.11610997500568,0.36048625312428995,0.5301999254293212
MDS_NP2EAT,7.11610997500568,0.36048625312428995,0.4013809085678376
MDS_NP2TRMR,7.11610997500568,0.36048625312428995,0.6701457688841784
