Feature,Overall_Mean,Temporal_Variance,Coefficient_of_Variation,Baseline_vs_V04_Shift
COHORT,1.1533742331288344,0.12986533181184792,0.3124470077707923,0.0
SCREENEDAM,2.6912955465587043,0.6244425257638652,0.293619465068282,0.0
ENROLL_AGE,62.866394001363325,102.48587198563837,0.16103246845202976,0.0
AV133STDY,0.018328445747800588,0.017994712591693746,7.318916946980158,0.0
TAUSTDY,0.010286554004408524,0.01018198768691117,9.809488746119225,0.0
GAITSTDY,0.05216752387950037,0.04945212918889562,4.262773664630896,0.0
PISTDY,0.0,0.0,,
SV2ASTDY,0.008082292432035268,0.008017950851131129,11.078912565054218,0.0
NXTAUSTDY,0.011021307861866276,0.010901173581436871,9.473348052895139,0.0
DPPDSTDY,0.006612784717119765,0.006569860333775326,12.257268069794469,0.0
DPPROSTDY,0.0,0.0,,
FD4STDY,0.005143277002204262,0.005117450381617566,13.908711708654172,0.0
DPASTDY,0.016164584864070537,0.015905238799503084,7.8019927310316675,0.0
DPDPASTDY,0.0,0.0,,
GAITLEAPSTDY,0.0,0.0,,
MDGSTDY,0.0029390154298310064,0.0029307365131272575,18.419868330033598,0.0
MNISTDY,0.002204261572373255,0.002199672172896176,21.27726736572057,0.0
DATELIG,0.1111111111111111,0.09937888198757763,2.8371974624607623,0.0
ENRLPINK1,0.002204261572373255,0.002199672172896176,21.27726736572057,0.0
ENRLPRKN,0.011021307861866276,0.010901173581436871,9.473348052895139,0.0
ENRLSRDC,0.5606171932402645,0.24635572435346834,0.88534984639221,0.0
ENRLNORM,0.13592946362968406,0.11746702943919789,2.5214153354852686,0.0
ENRLOTHGV,0.0036737692872887582,0.0036607209946578484,16.469159509271407,0.0
ENRLHPSM,0.0,0.0,,
ENRLRBD,0.0,0.0,,
ENRLLRRK2,0.09270620313565099,0.08412132010468229,3.1285582481186083,0.0
ENRLSNCA,0.0190865712338105,0.018724401321749785,7.169288428894998,0.0
ENRLGBA,0.0408997955010225,0.03923145933639721,4.842795109226343,0.0
clini_PDTRTMNT,0.5564593301435407,0.24687140418428438,0.892898236093869,1.7896655173957818
clini_HRPOSTMED,16.800223947939262,33408.697790582475,10.879644458233079,0.09215840779905723
clini_HRDBSON,,,,
clini_HRDBSOFF,0.9271592592592592,0.9560730648148149,1.0546083405866182,
clini_PDMEDYN,0.5590077071290944,0.24657747813861045,0.8882984568491223,1.7565577832845238
clini_DBSYN,0.019470899470899472,0.019095824989135746,7.097137157565906,0.629908890983349
clini_ONOFFORDER,1.0657174151150055,0.06146595953190754,0.232635115208747,0.0580447441005208
clini_OFFEXAM,1.0,0.0,0.0,0.0
clini_OFFNORSN,,,,
clini_DBSOFFYN,1.0,0.0,0.0,
clini_ONEXAM,,,,
clini_ONNORSN,,,,
clini_HIFUYN,0.003436426116838488,0.0034285444055613353,17.039148124461487,-0.7555066079295154
clini_DBSONYN,1.0,0.0,0.0,
clini_NP3SPCH,0.5055707378599958,0.43210731191057816,1.300211127044016,0.1637892763774479
clini_NP3FACXP,1.012192558335085,0.7159993338134073,0.8359747672861527,0.07146759528642554
clini_NP3RIGN,0.7185200756779483,0.7485488606671096,1.2041238814777186,0.17537686845742073
clini_NP3RIGRU,0.9625814589026698,0.7904414423222614,0.9236285714162837,0.08388003748828493
clini_NP3RIGLU,0.8280428841706958,0.7996928257467683,1.0799627362069038,0.15053804954746708
clini_NP3RIGRL,0.5947025436199286,0.7002915273547567,1.4071475535015179,0.19335506949852815
clini_NP3RIGLL,0.5850325835610679,0.7268406896445644,1.4572684449306035,0.18919159366625923
clini_NP3FTAPR,0.9957956695396258,0.936904102899662,0.972024781093765,0.020717094833098283
clini_NP3FTAPL,1.0098801765818792,1.0194566088521135,0.999803207059788,0.060096153846153834
clini_NP3HMOVR,0.8030271179314694,0.7746922644032352,1.0960601753054118,0.0685125832587003
clini_NP3HMOVL,0.843809123397099,0.8660534437939539,1.1028796663268108,0.04741978835567593
clini_NP3PRSPR,0.7830565482446921,0.808686786751161,1.1484102178299995,0.0542541994088386
clini_NP3PRSPL,0.8496951860416229,0.9200025353279564,1.1288373078363023,0.0761162209133657
clini_NP3TTAPR,0.8787050662182048,0.9215754464272297,1.0925021927178473,0.11145370446260255
clini_NP3TTAPL,1.0199705696867774,1.029247854474297,0.9946547120900159,0.062071067339133826
clini_NP3LGAGR,0.5040992221988648,0.5452418135338777,1.4648007358927608,0.05192957694757862
