Feature,Unique Values,Most Frequent Class %,Missing %,Constant
COHORT_DEFINITION,2,84.66257668711657,0.0,False
ENROLL_DATE,164,2.3858214042263124,0.0,False
ENROLL_STATUS,1,100.0,0.0,True
STATUS_DATE,132,3.2038173142467623,0.0,False
INEXPAGE,6,62.65182186234818,32.65167007498296,False
PPMI_ONLINE_ENROLL,2,79.20927062031356,0.0,False
EVENT_ID,6,16.666666666666664,0.0,False
clini_REC_ID,4757,0.02102165230187093,45.95546466712111,False
clini_PAG_NAME,5,50.51503048139584,45.95546466712111,False
INFODT,182,1.5345806180365775,45.95546466712111,False
clini_PDSTATE,2,82.69065981148243,73.48329925017042,False
clini_DBSOFFTM,21,11.11111111111111,99.69325153374233,False
clini_DBSONTM,5,20.0,99.9431947284708,False
clini_PDMEDDT,164,2.0743301642178045,73.71052033628722,False
clini_PDMEDTM,149,7.260155574762317,73.71052033628722,False
clini_EXAMDT,182,1.5352260778128286,45.97818677573279,False
clini_EXAMTM,433,5.509144276360352,49.68189047943649,False
clini_ORIG_ENTRY,182,1.4715156611309648,45.95546466712111,False
clini_LAST_UPDATE,2714,5.591759512297666,45.95546466712111,False
FOUND_SRDXDATE,0,0.0,100.0,True
FOUND_FOPTRDX,0,0.0,100.0,True
FOUND_FOPTRDXOTHER,0,0.0,100.0,True
FOUND_LAST_UPDATE,0,0.0,100.0,True
Geria_REC_ID,5603,0.01784758165268606,36.344012724380825,False
Geria_PAG_NAME,1,100.0,36.344012724380825,True
Geria_ORIG_ENTRY,187,1.9096912368374086,36.344012724380825,False
Geria_LAST_UPDATE,2969,0.3212564697483491,36.344012724380825,False
Neuro_REC_ID,4119,0.024277737314882253,53.20381731424676,False
Neuro_PAG_NAME,1,100.0,53.20381731424676,True
Neuro_ORIG_ENTRY,176,2.0393299344501092,53.20381731424676,False
Neuro_LAST_UPDATE,2305,0.24277737314882253,53.20381731424676,False
SCOPA_REC_ID,5609,0.017828489926903193,36.27584639854579,False
SCOPA_PAG_NAME,1,100.0,36.27584639854579,True
SCOPA_SCAU23AT,145,16.15798922800718,93.67189275164736,False
SCOPA_SCAU26AT,575,11.813186813186812,87.59372869802317,False
SCOPA_SCAU26BT,401,9.735744089012517,91.83140195410134,False
SCOPA_SCAU26CT,1031,5.075593952483802,78.95932742558509,False
SCOPA_SCAU26DT,1590,0.7262569832402235,79.66371279254714,False
SCOPA_ORIG_ENTRY,187,1.8898199322517382,36.27584639854579,False
SCOPA_LAST_UPDATE,2997,0.30308432875735425,36.27584639854579,False
Unive_REC_ID,770,0.12987012987012986,91.25198818450352,False
Unive_PAG_NAME,1,100.0,91.25198818450352,True
Unive_UPSIT_PRCTVER,2,77.27272727272727,91.25198818450352,False
Unive_IMPUTED_DATA,2,70.77922077922078,91.25198818450352,False
Unive_UPSIT_SOURCE,1,100.0,91.25198818450352,True
Unive_UPSITLANGCNTR,12,66.01941747572816,96.48943421949558,False
Unive_ORIG_ENTRY,54,4.675324675324675,91.25198818450352,False
Unive_LAST_UPDATE,495,1.0389610389610389,91.25198818450352,False
Curre_SEX,2,59.641097818437714,67.71188366280391,False
Curre_COHORT,2,78.43068261787474,67.71188366280391,False
Curre_TYPE,17,34.37719915552428,67.71188366280391,False
Curre_TESTNAME,42,22.167487684729064,67.71188366280391,False
Curre_TESTVALUE,2053,2.4278676988036594,67.71188366280391,False
Curre_UNITS,23,37.73867465368776,69.65462394910247,False
Curre_RUNDATE,324,2.322308233638283,67.71188366280391,False
Curre_PI_NAME,30,22.167487684729064,67.71188366280391,False
Curre_PI_INSTITUTION,29,27.093596059113302,67.71188366280391,False
Curre_update_stamp,61,22.167487684729064,67.71188366280391,False
Kinet_SEX,2,75.25773195876289,98.89797773233356,False
Kinet_COHORT,2,98.96907216494846,98.89797773233356,False
Kinet_AMPRION_ID,97,1.0309278350515463,98.89797773233356,False
Kinet_TYPE,1,100.0,98.89797773233356,True
Kinet_SAAMethod,1,100.0,98.89797773233356,True
Kinet_SAA_Result,2,96.90721649484536,98.89797773233356,False
Kinet_RUNDATE,12,47.42268041237113,98.89797773233356,False
Kinet_Plate_ID,21,18.556701030927837,98.89797773233356,False
Kinet_Wells,33,6.185567010309279,98.89797773233356,False
Kinet_PI_NAME,1,100.0,98.89797773233356,True
Kinet_PI_INSTITUTION,1,100.0,98.89797773233356,True
SAA_SEX,2,61.2424037812289,83.17427857305158,False
SAA_COHORT,2,85.61782579338285,83.17427857305158,False
SAA_TYPE,2,97.02903443619176,83.17427857305158,False
SAA_SAAMethod,2,75.35449020931803,83.17427857305158,False
SAA_SAA_Status,3,74.40918298446995,83.17427857305158,False
SAA_SAA_Type,3,95.32710280373831,90.27493751420131,False
SAA_SampleVolRep1,0,0.0,100.0,True
SAA_SampleVolRep2,0,0.0,100.0,True
SAA_SampleVolRep3,3,52.459016393442624,99.3069756873438,False
SAA_RUNDATE,43,7.629979743416611,83.17427857305158,False
SAA_PI_NAME,2,75.35449020931803,83.17427857305158,False
