dataset_name,location,size_bytes,is_valid,validation_errors,schema_status,found_identifiers,file_hash
clinical_cohort_v1.csv,data\raw\clinical_cohort_v1.csv,6590608,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",65c50fd40f1092a1b0cba84627393e7a9ddaa61bdcda79352ac92c72cbae47ab
FOUND_Self-Reported_Dx_14Jul2026.csv,data\raw\FOUND_Self-Reported_Dx_14Jul2026.csv,1304899,True,,success,"[""PATNO"", ""EVENT_ID""]",77c5ab7d471300fd5f05cb53c66d87443443b2531d1f81d88ff117cfdd448ae9
Geriatric_Depression_Scale__Short_Version__14Jul2026.csv,data\raw\Geriatric_Depression_Scale__Short_Version__14Jul2026.csv,2981458,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",dcc3f80b804624e53b738193535b194dfbad2f375d2053829e2e79189d4d6173
Neurological_Exam_14Jul2026.csv,data\raw\Neurological_Exam_14Jul2026.csv,2335450,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",f9df35ea8a44b94b167f13c0a88af147e4d40b759677765a81d520362450317f
Participant_Status_08Jul2026.csv,data\raw\Participant_Status_08Jul2026.csv,1566945,True,,success,"[""PATNO""]",6e4d21c6261ce594cfc556c68759bbd8c65123d29aa10b7d029b2c8614a107e6
SCOPA-AUT_14Jul2026.csv,data\raw\SCOPA-AUT_14Jul2026.csv,5060699,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",3a69f90dc70222fd3c04c3383a14500f18f8dbc80265e94bdb158998503928a3
University_of_Pennsylvania_Smell_Identification_Test_UPSIT_14Jul2026.csv,data\raw\University_of_Pennsylvania_Smell_Identification_Test_UPSIT_14Jul2026.csv,4696786,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",4d2ac45701cbc78abd176532f01e99e21c892fcc49596e549fb31516b5b2776c
Current_Biospecimen_Analysis_Results_08Jul2026.csv,data\unzipped\Biospecimen_Analysis\Current_Biospecimen_Analysis_Results_08Jul2026.csv,185735756,True,,success,"[""PATNO""]",c39ccbc895d5ee98853851e27eaba5a6e21d22e51db30e43b40cb5669771526c
Kinetic_data_for_SAA_Results_08Jul2026.csv,data\unzipped\Biospecimen_Analysis\Kinetic_data_for_SAA_Results_08Jul2026.csv,918632,True,,success,"[""PATNO""]",12c01ab91122f11ab3a453d85f1fd5db1ae18def5d2a24c16a91e1086debbf39
SAA_Biospecimen_Analysis_Results_08Jul2026.csv,data\unzipped\Biospecimen_Analysis\SAA_Biospecimen_Analysis_Results_08Jul2026.csv,1667950,True,,success,"[""PATNO""]",890648615fac9d97551ec35d388f38585f45057e0068297fee16912ca6e37253
Dopamine_Imaging_14Jul2026.csv,data\unzipped\DaTSCAN\Dopamine_Imaging_14Jul2026.csv,1693506,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",b1825d38d7db2e57c1a40988884790f9a6004e71cb8198f0f622b0505d3b03a4
Xing_Core_Lab_-_Quant_SBR_14Jul2026.csv,data\unzipped\DaTSCAN\Xing_Core_Lab_-_Quant_SBR_14Jul2026.csv,2878729,True,,success,"[""PATNO"", ""EVENT_ID""]",5bf4066ed189bd56958b6398719976d3fcc661b480b3c305217fd147956d73f5
Xing_Core_Lab_-_Visual_Read_14Jul2026.csv,data\unzipped\DaTSCAN\Xing_Core_Lab_-_Visual_Read_14Jul2026.csv,100470,True,,success,"[""PATNO""]",c12499a2ea3ab563f1cbf03b73b5563cf35adcc29068723286fe3863e38bc345
Clinical_Diagnosis_14Jul2026.csv,data\unzipped\Medical\Clinical_Diagnosis_14Jul2026.csv,1483407,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",5196879d267d5c29fff2f909b132226174ecf9a21f08fedd9d360f887b525ba4
Concomitant_Medication_Log_14Jul2026.csv,data\unzipped\Medical\Concomitant_Medication_Log_14Jul2026.csv,9809428,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME""]",4b19473fb5d636a1e4e625eedec8da67d6677e53855901bb36cab1b5519d91ab
Features_of_Parkinsonism_14Jul2026.csv,data\unzipped\Medical\Features_of_Parkinsonism_14Jul2026.csv,2597490,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",8e8e92cda80203bb6a706e6d0806794ef52d44f09c6a212057cbf714b4c46c21
Initiation_of_Dopaminergic_Therapy_14Jul2026.csv,data\unzipped\Medical\Initiation_of_Dopaminergic_Therapy_14Jul2026.csv,779444,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",c34da780239866d051b524b533e8db8289612e2ad0eb500ffdedd9e2b523d752
LEDD_Concomitant_Medication_Log_14Jul2026.csv,data\unzipped\Medical\LEDD_Concomitant_Medication_Log_14Jul2026.csv,1457858,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME""]",0a2610a1c0c8d9e0704b38b48f36b1c3b47414885d4ef99c57568bcb0833e400
Medical_Conditions_Log_14Jul2026.csv,data\unzipped\Medical\Medical_Conditions_Log_14Jul2026.csv,4749186,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",de28a0b2e56ad457f1dcd6906896326c36dca00b75d6215b9ea7a5fee66a015c
PD_Diagnosis_History_14Jul2026.csv,data\unzipped\Medical\PD_Diagnosis_History_14Jul2026.csv,262756,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",e16f96ba99e6365c32f062dced63e382a743cdbdfa0daa9d3d36d244c828707c
Vital_Signs_14Jul2026.csv,data\unzipped\Medical\Vital_Signs_14Jul2026.csv,4063073,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",e5f7ae79bd51d6c03883b56e284dbd6e3bd38b86e3a175e73b97e833a00bedbb
Gait_Data___Arm_swing__Axivity__14Jul2026.csv,data\unzipped\Motor___MDS_UPDRS\Gait_Data___Arm_swing__Axivity__14Jul2026.csv,127951,True,,success,"[""PATNO""]",05f70caf1d114951f443cd7911703b085fa6e4187f2ba9f6ee775829474ceceb
Gait_Substudy_Gait_Mobility_Assessment_and_Measurement_14Jul2026.csv,data\unzipped\Motor___MDS_UPDRS\Gait_Substudy_Gait_Mobility_Assessment_and_Measurement_14Jul2026.csv,94839,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",d3a9e34083a010634607486f598fa8c0b2348878661cc8cb826d244bc6f422d4
MDS-UPDRS_Part_III_14Jul2026.csv,data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_III_14Jul2026.csv,12280005,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",5a94197177eac5545df1d41fb57efa6efd0ae4ec6eed99671693b4d47e118f99
MDS-UPDRS_Part_IV__Motor_Complications_14Jul2026.csv,data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_IV__Motor_Complications_14Jul2026.csv,1519771,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",7bfce683c3c4e429eb8b80148bad7928b5afcf195abb126075af8459cd9812fe
MDS-UPDRS_Part_I_14Jul2026.csv,data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_I_14Jul2026.csv,3592140,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",6dc427ff787c25ec71f87339e264b198659d8415e86409b3606932322678cd04
MDS-UPDRS_Part_I_Patient_Questionnaire_14Jul2026.csv,data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_I_Patient_Questionnaire_14Jul2026.csv,4288740,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",4ed3c5b350436e94279ee2c905a4361ed80c3b30bb76190fd6b20a2fb57ee3f8
MDS_UPDRS_Part_II__Patient_Questionnaire_14Jul2026.csv,data\unzipped\Motor___MDS_UPDRS\MDS_UPDRS_Part_II__Patient_Questionnaire_14Jul2026.csv,5179795,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",a1e1d15657c4d0bf3e06282de1cd054216ca0eb0a6463b2c7b30806c6c84fb58
Roche_PD_Monitoring_App_v2_data_14Jul2026.csv,data\unzipped\Roche_Smartphone_App\Roche_PD_Monitoring_App_v2_data_14Jul2026.csv,23693082,True,,success,"[""PATNO""]",65fd2283a85add21bd61dcf16456fabd467520406d4e719da32115f780713c91
Epworth_Sleepiness_Scale_14Jul2026.csv,data\unzipped\Sleep_Disorder\Epworth_Sleepiness_Scale_14Jul2026.csv,2411506,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",0177c387f933d7e6f516bf25ac270822980d36a4e74b4d86d90bf85978452e0a
REM_Sleep_Behavior_Disorder_Screening_Questionnaire_14Jul2026.csv,data\unzipped\Sleep_Disorder\REM_Sleep_Behavior_Disorder_Screening_Questionnaire_14Jul2026.csv,3542346,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",940d78630998fc50079c698193a3eb5adffce424516030f29e7083333929dd11
Eligibility_Override_14Jul2026.csv,data\unzipped\Study_Enrollment__1_\Eligibility_Override_14Jul2026.csv,18143,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",1a624c4db2e98bbc8b634f6ab241d347eef5dab7ea0885e10c3344558a321380
FOUND_Enrollment_Status_14Jul2026.csv,data\unzipped\Study_Enrollment__1_\FOUND_Enrollment_Status_14Jul2026.csv,273776,True,,success,"[""PATNO""]",934bbfd046cc90cd3d918edf5c5eb0b10ba6d6cfc90dadb8e6a66aa3303ac307
Inclusion_Exclusion_14Jul2026.csv,data\unzipped\Study_Enrollment__1_\Inclusion_Exclusion_14Jul2026.csv,2008584,True,,success,"[""PATNO"", ""EVENT_ID"", ""PAG_NAME"", ""INFODT""]",8e515fff65030e9a1dd55a921582070d205082792c0b757636b10baac4cd7719
Age_at_visit_08Jul2026.csv,data\unzipped\Subject_Demographics\Age_at_visit_08Jul2026.csv,1019118,True,,success,"[""PATNO"", ""EVENT_ID""]",23bc18706b248c05208f700024434790370f5e7d24b116174d426e59009381fd
